submission_id,question,response1,sentence_left,context_picture,experiment_id,picture2,correct1,question1,problems,enjoyment,item,botresponse,correct2,pic_spec,understand,text,age,response,comments,ref_spec,picture1,response3,education,target_size,languages,sex,RT,correct3,context,trial_number,startTime,attempts,question3,fairprice,question2,response2,trial_name,condition
439,NA,humminbird,NA,NA,11,warmup/eagle.jpg,hummingbird,This is a,i had no issues,1,birds,elizabeth,eagle,NA,yes,Please label the pictures below.,29,NA,NA,NA,warmup/colibri.jpg,birds,some_college,NA,english,female,NA,birds,NA,1,1566837016834,1,This is an,1,These are both,eagle,warmup1,NA
439,NA,hummingbird,NA,NA,11,warmup/eagle.jpg,hummingbird,This is a,i had no issues,1,birds,elizabeth,eagle,NA,yes,Please label the pictures below.,29,NA,NA,NA,warmup/colibri.jpg,birds,some_college,NA,english,female,NA,birds,NA,1,1566837016834,2,This is an,1,These are both,eagle,warmup1,NA
439,NA,redwood,NA,NA,11,warmup/bonsai.jpg,redwood|sequoia,This is a,i had no issues,1,trees,elizabeth,bonsai,NA,yes,Please label the pictures below.,29,NA,NA,NA,warmup/sequoia.jpg,trees,some_college,NA,english,female,NA,trees,NA,2,1566837016834,1,This is a,1,These are both,bonsai,warmup1,NA
439,NA,chiuaua,NA,NA,11,warmup/doberman.png,chihuahua,This is a,i had no issues,1,dogs,elizabeth,doberman,NA,yes,Please label the pictures below.,29,NA,NA,NA,warmup/chihuahua.jpg,dogs,some_college,NA,english,female,NA,dogs,NA,3,1566837016834,1,This is a,1,These are both,rotwiler,warmup1,NA
439,NA,chihuahua,NA,NA,11,warmup/doberman.png,chihuahua,This is a,i had no issues,1,dogs,elizabeth,doberman,NA,yes,Please label the pictures below.,29,NA,NA,NA,warmup/chihuahua.jpg,dogs,some_college,NA,english,female,NA,dogs,NA,3,1566837016834,2,This is a,1,These are both,doberman,warmup1,NA
439,Please rephrase your friend's comment.,NA,It is small relative to other,images/tree-parade-bonsai.png,11,NA,NA,NA,i had no issues,1,trees,elizabeth,NA,1,yes,Your friend points to another member of the group which you cannot see and says: <br/><b>That's a small one.</b>,29,bonsai trees,NA,1,NA,NA,some_college,small,english,female,NA,NA,You and your friend see the following:,1,1566837016834,NA,NA,1,NA,NA,custom_main_text1,prenominal
439,Please rephrase your friend's comment.,NA,It is small relative to other,images/dog-parade-chihuahua.png,11,NA,NA,NA,i had no issues,1,dogs1,elizabeth,NA,1,yes,Your friend points to another member of the group which you cannot see and says: <br/><b>That's a small one.</b>,29,chihuahuas,NA,1,NA,NA,some_college,small,english,female,NA,NA,You and your friend see the following:,2,1566837016834,NA,NA,1,NA,NA,custom_main_text1,prenominal
439,Please rephrase your friend's comment.,NA,It is big relative to other,images/bird-parade-basic.png,11,NA,NA,NA,i had no issues,1,birds,elizabeth,NA,0,yes,Your friend points to another member of the group which you cannot see and says: <br/><b> That's a big eagle.</b>,29,birds,NA,0,NA,NA,some_college,big,english,female,NA,NA,You and your friend see the following:,3,1566837016834,NA,NA,1,NA,NA,custom_main_text1,prenominal
439,NA,pug,NA,NA,11,warmup/great-dane.jpg,pug,This is a,i had no issues,1,dogs,elizabeth,great dane,NA,yes,Please label the pictures below.,29,NA,NA,NA,warmup/pug.jpg,dogs,some_college,NA,english,female,NA,dogs,NA,1,1566837016834,1,This is a,1,These are both,blood houd,warmup2,NA
439,NA,pug,NA,NA,11,warmup/great-dane.jpg,pug,This is a,i had no issues,1,dogs,elizabeth,great dane,NA,yes,Please label the pictures below.,29,NA,NA,NA,warmup/pug.jpg,dogs,some_college,NA,english,female,NA,dogs,NA,1,1566837016834,2,This is a,1,These are both,great dane,warmup2,NA
439,NA,swordfish,NA,NA,11,warmup/goldfish.png,swordfish,This is a,i had no issues,1,fish,elizabeth,goldfish,NA,yes,Please label the pictures below.,29,NA,NA,NA,warmup/swordfish.jpg,fish,some_college,NA,english,female,NA,fish,NA,2,1566837016834,1,This is a,1,These are both,goldfish,warmup2,NA
439,NA,dandilion,NA,NA,11,warmup/sunflower.png,dandelion,This is a,i had no issues,1,flowers,elizabeth,sunflower,NA,yes,Please label the pictures below.,29,NA,NA,NA,warmup/dandelion.jpg,flowers,some_college,NA,english,female,NA,flowers,NA,3,1566837016834,1,This is a,1,These are both,sunflower,warmup2,NA
439,NA,dandelion,NA,NA,11,warmup/sunflower.png,dandelion,This is a,i had no issues,1,flowers,elizabeth,sunflower,NA,yes,Please label the pictures below.,29,NA,NA,NA,warmup/dandelion.jpg,flowers,some_college,NA,english,female,NA,flowers,NA,3,1566837016834,2,This is a,1,These are both,sunflower,warmup2,NA
439,Please rephrase your friend's comment.,NA,It is small relative to other,images/dog-parade-basic2.png,11,NA,NA,NA,i had no issues,1,dogs2,elizabeth,NA,0,yes,Your friend points to another member of the group which you cannot see and says: <br/><b>That's a small pug.</b>,29,dogs,NA,0,NA,NA,some_college,small,english,female,NA,NA,You and your friend see the following:,1,1566837016834,NA,NA,1,NA,NA,custom_main_text2,prenominal
439,Please rephrase your friend's comment.,NA,It is big relative to other,images/fish-parade-basic.png,11,NA,NA,NA,i had no issues,1,fish,elizabeth,NA,0,yes,Your friend points to another member of the group which you cannot see and says: <br/><b>That's a big one.</b>,29,fish,NA,1,NA,NA,some_college,big,english,female,NA,NA,You and your friend see the following:,2,1566837016834,NA,NA,1,NA,NA,custom_main_text2,prenominal
439,Please rephrase your friend's comment.,NA,It is big relative to other,images/flower-parade-sunflower.png,11,NA,NA,NA,i had no issues,1,flowers,elizabeth,NA,1,yes,Your friend points to another member of the group which you cannot see and says: <br/><b>That's a big sunflower.</b>,29,sunflowers,NA,0,NA,NA,some_college,big,english,female,NA,NA,You and your friend see the following:,3,1566837016834,NA,NA,1,NA,NA,custom_main_text2,prenominal
407,NA,tree,NA,NA,11,warmup/bonsai.jpg,redwood|sequoia,This is a,No.,1,trees,sarah,bonsai,NA,yes,Please label the pictures below.,27,NA,NA,NA,warmup/sequoia.jpg,trees,some_college,NA,English,female,NA,trees,NA,1,1566831389201,1,This is a,1,These are both,bonsai,warmup1,NA
407,NA,redwood,NA,NA,11,warmup/bonsai.jpg,redwood|sequoia,This is a,No.,1,trees,sarah,bonsai,NA,yes,Please label the pictures below.,27,NA,NA,NA,warmup/sequoia.jpg,trees,some_college,NA,English,female,NA,trees,NA,1,1566831389201,2,This is a,1,These are both,bonsai,warmup1,NA
407,NA,pug,NA,NA,11,warmup/great-dane.jpg,pug,This is a,No.,1,dogs,sarah,great dane,NA,yes,Please label the pictures below.,27,NA,NA,NA,warmup/pug.jpg,dogs,some_college,NA,English,female,NA,dogs,NA,2,1566831389201,1,This is a,1,These are both,great dane,warmup1,NA
407,NA,hummingbird,NA,NA,11,warmup/eagle.jpg,hummingbird,This is a,No.,1,birds,sarah,eagle,NA,yes,Please label the pictures below.,27,NA,NA,NA,warmup/colibri.jpg,birds,some_college,NA,English,female,NA,birds,NA,3,1566831389201,1,This is an,1,These are both,eagle,warmup1,NA
407,Please rephrase your friend's comment.,NA,It is small relative to other,images/tree-parade-bonsai.png,11,NA,NA,NA,No.,1,trees,sarah,NA,1,yes,Your friend points to another member of the group which you cannot see and says: <br/><b>That's a small one.</b>,27,bonsai trees,NA,1,NA,NA,some_college,small,English,female,NA,NA,You and your friend see the following:,1,1566831389201,NA,NA,1,NA,NA,custom_main_text1,prenominal
