submission_id,question,response1,startDate,target_picture,context_picture,experiment_id,picture2,correct1,trial_type,question1,problems,enjoyment,item,botresponse,trials,correct2,understand,text,sentence,syntax,ref_np,target,age,response,comments,picture1,response3,education,target_size,name,languages,sex,RT,correct3,context,trial_number,attempts,paraphrase,question3,fairprice,question2,response2,correct,adj_cond,trial_name,adj,utterance
2722,NA,Dobermann,Wed Dec 23 2020 20:46:37 GMT-0500 (EST),NA,NA,37,warmup/chihuahua2.png,doberman,NA,This is a,No,1,dogs1,Margaret,NA,chihuahua,yes,Please label the pictures below.,NA,NA,NA,NA,59,NA,This takes longer then what you post.,warmup/doberman2.png,Dogs,some_college,NA,NA,English,female,NA,dogs,NA,1,1,NA,This is a,1.5,These are both,Chiwawa,NA,NA,warmup1,NA,NA
2722,NA,Dobermann,Wed Dec 23 2020 20:46:37 GMT-0500 (EST),NA,NA,37,warmup/chihuahua2.png,doberman,NA,This is a,No,1,dogs1,Margaret,NA,chihuahua,yes,Please label the pictures below.,NA,NA,NA,NA,59,NA,This takes longer then what you post.,warmup/doberman2.png,Dogs,some_college,NA,NA,English,female,NA,dogs,NA,1,2,NA,This is a,1.5,These are both,Chiwawa,NA,NA,warmup1,NA,NA
2722,NA,Dobermann,Wed Dec 23 2020 20:46:37 GMT-0500 (EST),NA,NA,37,warmup/chihuahua2.png,doberman,NA,This is a,No,1,dogs1,Margaret,NA,chihuahua,yes,Please label the pictures below.,NA,NA,NA,NA,59,NA,This takes longer then what you post.,warmup/doberman2.png,Dogs,some_college,NA,NA,English,female,NA,dogs,NA,1,3,NA,This is a,1.5,These are both,Chiwawa,NA,NA,warmup1,NA,NA
2722,NA,Doberman,Wed Dec 23 2020 20:46:37 GMT-0500 (EST),NA,NA,37,warmup/chihuahua2.png,doberman,NA,This is a,No,1,dogs1,Margaret,NA,chihuahua,yes,Please label the pictures below.,NA,NA,NA,NA,59,NA,This takes longer then what you post.,warmup/doberman2.png,Dogs,some_college,NA,NA,English,female,NA,dogs,NA,1,4,NA,This is a,1.5,These are both,Chihuahua,NA,NA,warmup1,NA,NA
2722,NA,Pug,Wed Dec 23 2020 20:46:37 GMT-0500 (EST),NA,NA,37,warmup/great-dane2.png,pug,NA,This is a,No,1,dogs2,Margaret,NA,great dane,yes,Please label the pictures below.,NA,NA,NA,NA,59,NA,This takes longer then what you post.,warmup/pug2.png,Dogs,some_college,NA,NA,English,female,NA,dogs,NA,2,1,NA,This is a,1.5,These are both,Great Dane,NA,NA,warmup1,NA,NA
2722,<i>What do you think Speaker A meant? </i>,NA,Wed Dec 23 2020 20:46:37 GMT-0500 (EST),NA,NA,37,NA,NA,NA,NA,No,1,NA,Margaret,1,NA,yes,NA,"<b> Speaker A: ""The Empire State Building is tall.""</b>",NA,NA,NA,59,Buildings,This takes longer then what you post.,NA,NA,some_college,NA,comp_class_warmup,English,female,NA,NA,In the main trials you will be asked to rephrase something a person said. The utterance will contain a word that is <i>relative</i> and your task is to figure out what it is relative to. <br /> <br /> For example: <br />,1,1,The Empire State Building is tall relative to other,NA,1.5,NA,NA,"buildings, skyscrapers, houses, constructions (choose one)",NA,comp_class_warmup,NA,NA
2722,What do you think your friend is saying it is big relative to?,NA,Wed Dec 23 2020 20:46:37 GMT-0500 (EST),images/great-dane.png,images/dog-parade-basic2.png,37,NA,NA,critical,NA,No,1,dogs2,Margaret,NA,NA,yes,Your friend goes ahead of you. You see your friend in the distance:,NA,pred,prize-winner,Great Dane,59,Dogs,This takes longer then what you post.,NA,NA,some_college,big,NA,English,female,34202,NA,You and your friend are at a pet show and you see the following:,1,NA,It is big relative to other,NA,1.5,NA,NA,NA,congruent,custom_main_text1,big,Your friend says: <br/><b>That prize-winner is a big Great Dane.</b>
2722,What do you think your friend is saying it is big relative to?,NA,Wed Dec 23 2020 20:46:37 GMT-0500 (EST),images/doberman.png,images/dog-parade-basic.png,37,NA,NA,critical,NA,No,1,dogs1,Margaret,NA,NA,yes,Your friend goes ahead of you. You see your friend in the distance:,NA,subj,service-animal,doberman,59,Dogs,This takes longer then what you post.,NA,NA,some_college,big,NA,English,female,35485,NA,You and your friend are at an animal training ground and you see the following:,2,NA,It is big relative to other,NA,1.5,NA,NA,NA,congruent,custom_main_text1,big,Your friend says: <br/><b>That big doberman is a service-animal.</b>
2722,NA,Dandelion,Wed Dec 23 2020 20:46:37 GMT-0500 (EST),NA,NA,37,warmup/sunflower2.png,dandelion,NA,This is a,No,1,flowers,Margaret,NA,sunflower,yes,Please label the pictures below.,NA,NA,NA,NA,59,NA,This takes longer then what you post.,warmup/dandelion2.png,Flowers,some_college,NA,NA,English,female,NA,flowers,NA,1,1,NA,This is a,1.5,These are both,Sunflower,NA,NA,warmup2,NA,NA
2722,NA,Bonsai,Wed Dec 23 2020 20:46:37 GMT-0500 (EST),NA,NA,37,warmup/redwood2.png,bonsai,NA,This is a,No,1,trees,Margaret,NA,redwood or sequoia (choose one),yes,Please label the pictures below.,NA,NA,NA,NA,59,NA,This takes longer then what you post.,warmup/bonsai2.png,Trees,some_college,NA,NA,English,female,NA,trees,NA,2,1,NA,This is a,1.5,These are both,Redwood,NA,NA,warmup2,NA,NA
