submission_id,question,response1,sentence_left,startDate,context_picture,pic,experiment_id,picture2,correct1,question1,problems,enjoyment,item,botresponse,trials,correct2,pic_spec,understand,text,condition,sentence,age,response,comments,ref_spec,picture1,response3,education,target_size,name,languages,sex,RT,correct3,context,trial_number,startTime,attempts,question3,fairprice,question2,response2,correct,trial_name,utterance
1443,<i>What do you think Speaker A meant? </i>,NA,The Empire State Building is tall relative to other ,Thu Dec 12 2019 12:34:57 GMT-0600 (Central Standard Time),NA,NA,30,NA,NA,NA,no,1,NA,jessica,1,NA,NA,yes,NA,NA,"<b> Speaker A: ""The Empire State Building is tall.""</b>",28,buildings,,NA,NA,NA,graduated_high_school,NA,comp_class_warmup,english,female,NA,NA,In the main trials you will be asked to rephrase something a person said. The utterance will contain a word that is <i>relative</i> and your task is to figure out what it is relative to. <br /> <br /> For example: <br /><br />,1,1576175697444,1,NA,1.00,NA,NA,"buildings, skyscrapers, houses, constructions (choose one)",comp_class_warmup,NA
1443,NA,tree,NA,Thu Dec 12 2019 12:34:57 GMT-0600 (Central Standard Time),NA,NA,30,warmup/bonsai.jpg,redwood or sequoia (choose one),This is a ,no,1,trees,jessica,NA,bonsai,NA,yes,Please label the pictures below.,NA,NA,28,NA,,NA,warmup/sequoia.png,trees,graduated_high_school,NA,NA,english,female,NA,trees,NA,1,1576175697444,1,This is a ,1.00,These are both,bonsai,NA,warmup1,NA
1443,NA,redwood,NA,Thu Dec 12 2019 12:34:57 GMT-0600 (Central Standard Time),NA,NA,30,warmup/bonsai.jpg,redwood or sequoia (choose one),This is a ,no,1,trees,jessica,NA,bonsai,NA,yes,Please label the pictures below.,NA,NA,28,NA,,NA,warmup/sequoia.png,trees,graduated_high_school,NA,NA,english,female,NA,trees,NA,1,1576175697444,2,This is a ,1.00,These are both,bonsai,NA,warmup1,NA
1443,NA,daisy,NA,Thu Dec 12 2019 12:34:57 GMT-0600 (Central Standard Time),NA,NA,30,warmup/sunflower.png,dandelion,This is a ,no,1,flowers,jessica,NA,sunflower,NA,yes,Please label the pictures below.,NA,NA,28,NA,,NA,warmup/dandelion.jpg,flowers,graduated_high_school,NA,NA,english,female,NA,flowers,NA,2,1576175697444,1,This is a ,1.00,These are both,sunflower,NA,warmup1,NA
1443,NA,dandelion,NA,Thu Dec 12 2019 12:34:57 GMT-0600 (Central Standard Time),NA,NA,30,warmup/sunflower.png,dandelion,This is a ,no,1,flowers,jessica,NA,sunflower,NA,yes,Please label the pictures below.,NA,NA,28,NA,,NA,warmup/dandelion.jpg,flowers,graduated_high_school,NA,NA,english,female,NA,flowers,NA,2,1576175697444,2,This is a ,1.00,These are both,sunflower,NA,warmup1,NA
1443,NA,hummindbird,NA,Thu Dec 12 2019 12:34:57 GMT-0600 (Central Standard Time),NA,NA,30,warmup/eagle.jpg,hummingbird,This is a ,no,1,birds,jessica,NA,eagle,NA,yes,Please label the pictures below.,NA,NA,28,NA,,NA,warmup/colibri.jpg,birds,graduated_high_school,NA,NA,english,female,NA,birds,NA,3,1576175697444,1,This is an ,1.00,These are both,eagle,NA,warmup1,NA
1443,NA,hummingbird,NA,Thu Dec 12 2019 12:34:57 GMT-0600 (Central Standard Time),NA,NA,30,warmup/eagle.jpg,hummingbird,This is a ,no,1,birds,jessica,NA,eagle,NA,yes,Please label the pictures below.,NA,NA,28,NA,,NA,warmup/colibri.jpg,birds,graduated_high_school,NA,NA,english,female,NA,birds,NA,3,1576175697444,2,This is an ,1.00,These are both,eagle,NA,warmup1,NA
1443,What do you think your friend meant?,NA,It is big  relative to other ,Thu Dec 12 2019 12:34:57 GMT-0600 (Central Standard Time),images/flower-parade-sunflower.png,images/sunflower.png,30,NA,NA,NA,no,1,flowers,jessica,NA,NA,1,yes,"Your friend runs far ahead of you, and you see him in the distance: ",1,NA,28,flowers,,1,NA,NA,graduated_high_school,big,NA,english,female,,NA,You and your friend see the following:,1,1576175697444,NA,NA,1.00,NA,NA,NA,custom_main_text1,Your friend says: </br><b>That sunflower is big.</b>
1443,What do you think your friend meant?,NA,It is small  relative to other ,Thu Dec 12 2019 12:34:57 GMT-0600 (Central Standard Time),images/flower-parade-basic.png,images/dandelion.png,30,NA,NA,NA,no,1,flowers,jessica,NA,NA,0,yes,"Your friend runs far ahead of you, and you see him in the distance: ",1,NA,28,flowers,,2,NA,NA,graduated_high_school,small,NA,english,female,,NA,You and your friend see the following:,2,1576175697444,NA,NA,1.00,NA,NA,NA,custom_main_text1,Your friend says: </br><b>That one is small.</b>
1443,What do you think your friend meant?,NA,It is big  relative to other ,Thu Dec 12 2019 12:34:57 GMT-0600 (Central Standard Time),images/bird-parade-basic.png,images/eagle.png,30,NA,NA,NA,no,1,birds,jessica,NA,NA,0,yes,"Your friend runs far ahead of you, and you see him in the distance: ",0,NA,28,birds,,0,NA,NA,graduated_high_school,big,NA,english,female,,NA,You and your friend see the following:,3,1576175697444,NA,NA,1.00,NA,NA,NA,custom_main_text1,Your friend says: </br><b>That's a big bird.</b>
