submission_id,question,response1,target_picture,context_picture,experiment_id,picture2,correct1,question1,problems,enjoyment,item,botresponse,trials,correct2,understand,text,sentence,syntax,target,age,response,comments,picture1,response3,education,name,languages,sex,RT,correct3,context,trial_number,startTime,attempts,paraphrase,question3,fairprice,reference,question2,response2,correct,trial_name,adj,utterance
2099,<i>What do you think Speaker A meant? </i>,NA,NA,NA,32,NA,NA,NA,no,1,NA,sarah,1,NA,yes,NA,"<b> Speaker A: ""The Empire State Building is tall.""</b>",NA,NA,42,buildings,NA,NA,NA,some_college,comp_class_warmup,English,female,NA,NA,In the main trials you will be asked to rephrase something a person said. The utterance will contain a word that is <i>relative</i> and your task is to figure out what it is relative to. <br /> <br /> For example: <br />,1,1585934841745,1,The Empire State Building is tall relative to other,NA,1,NA,NA,NA,"buildings, skyscrapers, houses, constructions (choose one)",comp_class_warmup,NA,NA
2099,NA,tree,NA,NA,32,warmup/bonsai.jpg,redwood or sequoia (choose one),This is a,no,1,trees,sarah,NA,bonsai,yes,Please label the pictures below.,NA,NA,NA,42,NA,NA,warmup/sequoia.png,trees,some_college,NA,English,female,NA,trees,NA,1,1585934841745,1,NA,This is a,1,NA,These are both,bonsai,NA,warmup1,NA,NA
2099,NA,redwood,NA,NA,32,warmup/bonsai.jpg,redwood or sequoia (choose one),This is a,no,1,trees,sarah,NA,bonsai,yes,Please label the pictures below.,NA,NA,NA,42,NA,NA,warmup/sequoia.png,trees,some_college,NA,English,female,NA,trees,NA,1,1585934841745,2,NA,This is a,1,NA,These are both,bonsai,NA,warmup1,NA,NA
2099,NA,puppy,NA,NA,32,warmup/doberman.jpg,chihuahua,This is a,no,1,dogs1,sarah,NA,doberman,yes,Please label the pictures below.,NA,NA,NA,42,NA,NA,warmup/chihuahua.jpg,dogs,some_college,NA,English,female,NA,dogs,NA,2,1585934841745,1,NA,This is a,1,NA,These are both,german shepherd,NA,warmup1,NA,NA
2099,NA,chihuahua,NA,NA,32,warmup/doberman.jpg,chihuahua,This is a,no,1,dogs1,sarah,NA,doberman,yes,Please label the pictures below.,NA,NA,NA,42,NA,NA,warmup/chihuahua.jpg,dogs,some_college,NA,English,female,NA,dogs,NA,2,1585934841745,2,NA,This is a,1,NA,These are both,doberman,NA,warmup1,NA,NA
2099,NA,hummingbird,NA,NA,32,warmup/eagle.png,hummingbird,This is a,no,1,birds,sarah,NA,eagle,yes,Please label the pictures below.,NA,NA,NA,42,NA,NA,warmup/colibri.jpg,birds,some_college,NA,English,female,NA,birds,NA,3,1585934841745,1,NA,This is an,1,NA,These are both,eagle,NA,warmup1,NA,NA
2099,What do you think your friend is saying is it small  relative to?,NA,images/bonsai_stick.png,images/tree-parade-basic.png,32,NA,NA,NA,no,1,trees,sarah,NA,NA,yes,Your friend goes ahead of you. You see your friend in the distance:,NA,predicate,bonsai,42,trees,NA,NA,NA,some_college,NA,English,female,15127,NA,You and your friend walk to your friend's cabin in a park for the first time. You want to memorize the path and you see the following:,1,1585934841745,NA,It is small  relative to other,NA,1,landmark,NA,NA,NA,custom_main_text1,small,Your friend says: <br/><b>That landmark is a small bonsai.</b>
2099,What do you think your friend is saying is it small relative to?,NA,images/chihuahua.png,images/dog-parade-basic.png,32,NA,NA,NA,no,1,dogs1,sarah,NA,NA,yes,Your friend goes ahead of you. You see your friend in the distance:,NA,predicate,chihuahua,42,dogs,NA,NA,NA,some_college,NA,English,female,7848,NA,You and your friend are at an animal training ground and you see the following:,2,1585934841745,NA,It is small relative to other,NA,1,service animal,NA,NA,NA,custom_main_text1,small,Your friend says: <br/><b>That service animal is a small chihuahua.</b>
2099,What do you think your friend is saying is it small  relative to?,NA,images/hummingbird.png,images/bird-parade-basic.png,32,NA,NA,NA,no,1,birds,sarah,NA,NA,yes,Your friend goes ahead of you. You see your friend in the distance:,NA,subject,hummingbird,42,birds,NA,NA,NA,some_college,NA,English,female,9199,NA,You visit your friend who works at an animal shelter and you see the following:,3,1585934841745,NA,It is small  relative to other,NA,1,rescue,NA,NA,NA,custom_main_text1,small,Your friend says: <br/><b>That small hummingbird is a rescue.</b>
2099,NA,dandelion,NA,NA,32,warmup/sunflower.jpg,dandelion,This is a,no,1,flowers,sarah,NA,sunflower,yes,Please label the pictures below.,NA,NA,NA,42,NA,NA,warmup/dandelion.jpg,flowers,some_college,NA,English,female,NA,flowers,NA,1,1585934841745,1,NA,This is a,1,NA,These are both,sunflower,NA,warmup2,NA,NA
2099,NA,pug,NA,NA,32,warmup/great-dane.jpg,pug,This is a,no,1,dogs2,sarah,NA,great dane,yes,Please label the pictures below.,NA,NA,NA,42,NA,NA,warmup/pug.jpg,dogs,some_college,NA,English,female,NA,dogs,NA,2,1585934841745,1,NA,This is a,1,NA,These are both,great dane,NA,warmup2,NA,NA
2099,What do you think your friend is saying is it big  relative to?,NA,images/great-dane.png,images/dog-parade-basic2.png,32,NA,NA,NA,no,1,dogs2,sarah,NA,NA,yes,Your friend goes ahead of you. You see your friend in the distance:,NA,subject,great dane,42,dogs,NA,NA,NA,some_college,NA,English,female,8073,NA,You and your friend are at a pet show and you see the following:,1,1585934841745,NA,It is big  relative to other,NA,1,prize-winner,NA,NA,NA,custom_main_text2,big,Your friend says: <br/><b>That big Great Dane is a prize-winner.</b>
