submission_id,question,target_picture,context_picture,experiment_id,trial_type,problems,enjoyment,item,botresponse,trials,option2,option1,understand,text,sentence,optionLeft,syntax,ref_np,target,age,response,comments,education,target_size,name,languages,sex,RT,context,trial_number,attempts,item_noun,paraphrase,fairprice,correct,adj_cond,trial_name,adj,utterance
2956,<i>What do you think Speaker A meant? </i>,NA,NA,42,NA,No,1,NA,Barbara,1,NA,NA,yes,NA,"<b> Speaker A: ""The Empire State Building is tall.""</b>",NA,NA,NA,NA,25,other buildings,NA,higher_degree,NA,comp_class_warmup,English,female,NA,In the main trials you will be asked to rephrase something a person said. The utterance will contain a word that is <i>relative</i> and your task is to figure out what it is relative to. <br /> <br /> For example: <br />,1,1,NA,The Empire State Building is tall relative to other,2,"buildings, skyscrapers, houses, constructions (choose one)",NA,comp_class_warmup,NA,NA
2956,<i>What do you think Speaker A meant? </i>,NA,NA,42,NA,No,1,NA,Barbara,1,NA,NA,yes,NA,"<b> Speaker A: ""The Empire State Building is tall.""</b>",NA,NA,NA,NA,25,buildings,NA,higher_degree,NA,comp_class_warmup,English,female,NA,In the main trials you will be asked to rephrase something a person said. The utterance will contain a word that is <i>relative</i> and your task is to figure out what it is relative to. <br /> <br /> For example: <br />,1,2,NA,The Empire State Building is tall relative to other,2,"buildings, skyscrapers, houses, constructions (choose one)",NA,comp_class_warmup,NA,NA
2956,What do you think your friend is saying it is big relative to?,images/skyscraper-landmark-filler.png,images/buildings-parade-basic_filler.png,42,filler,No,1,buildings,Barbara,NA,skyscrapers,buildings,yes,Your friend points to something in the distance (not shown).,NA,0,pred,landmark,skyscraper,25,skyscrapers,NA,higher_degree,big,NA,English,female,12630,You and your friend see the following:,1,NA,buildings_landmark,It is big relative to other,2,NA,congruent,custom_main_text1,big,Your friend says: <br/><b>That's a big skyscraper.</b>
2956,What do you think your friend is saying it is big relative to?,images/doberman-rescue.png,images/dog-parade-basic-rescue.png,42,critical,No,1,dogs1,Barbara,NA,dobermans,dogs,yes,Your friend points to something in the distance (not shown).,NA,0,subj,rescue,doberman,25,dobermans,NA,higher_degree,big,NA,English,female,21021,You visit your friend who works at an animal shelter and you see the following:,2,NA,dogs1_rescue,It is big relative to other,2,NA,congruent,custom_main_text1,big,Your friend says: <br/><b>That big doberman is a rescue.</b>
2956,What do you think your friend is saying it is big relative to?,images/great-dane-gift.png,images/dog-parade-basic2_stray_wLeash.png,42,critical,No,1,dogs2,Barbara,NA,Great Danes,dogs,yes,Your friend points to something in the distance (not shown).,NA,0,pred,stray,Great Dane,25,Great,NA,higher_degree,big,NA,English,female,11451,You and your friend take a walk in the city park and you see the following:,3,NA,dogs2_stray,It is big relative to other,2,NA,congruent,custom_main_text1,big,Your friend says: <br/><b>That stray is a big Great Dane.</b>
2956,What do you think your friend is saying it is small relative to?,images/bonsai_filler.png,images/tree-parade-basic_filler.png,42,filler,No,1,trees,Barbara,NA,bonsais,trees,yes,Your friend points to something in the distance (not shown).,NA,0,pred,landmark,bonsai,25,bonsais,NA,higher_degree,small,NA,English,female,8614,You and your friend see the following:,4,NA,trees_landmark,It is small relative to other,2,NA,congruent,custom_main_text1,small,Your friend says: <br/><b>That's a small bonsai.</b>
2956,What do you think your friend is saying it is small relative to?,images/clownfish_net.png,images/fish-parade-basic.png,42,critical,No,1,fish,Barbara,NA,clownfish,fish,yes,Your friend points to something in the distance (not shown).,NA,0,pred,rescue,clownfish,25,clownfish,NA,higher_degree,small,NA,English,female,11688,You visit your friend who works as a marine biologist and you see the following:,5,NA,fish_rescue,It is small relative to other,2,NA,congruent,custom_main_text1,small,Your friend says: <br/><b>That rescue is a small clownfish.</b>
2956,What do you think your friend is saying it is small relative to?,images/pug_filler.png,images/dog-parade-basic2_filler2.png,42,filler,No,1,dogs2,Barbara,NA,pugs,dogs,yes,Your friend points to something in the distance (not shown).,NA,0,subj,stray,pug,25,dogs,NA,higher_degree,small,NA,English,female,8700,You and your friend see the following:,6,NA,dogs2_stray,It is small relative to other,2,NA,congruent,custom_main_text1,small,Your friend says: <br/><b>That pug is small.</b>
2956,What do you think your friend is saying it is big relative to?,images/great-dane.png,images/dog-parade-basic2.png,42,critical,No,1,dogs2,Barbara,NA,Great Danes,dogs,yes,Your friend points to something in the distance (not shown).,NA,0,pred,prize-winner,Great Dane,25,Great,NA,higher_degree,big,NA,English,female,14283,You and your friend are at a pet show and you see the following:,7,NA,dogs2_prize,It is big relative to other,2,NA,congruent,custom_main_text1,big,Your friend says: <br/><b>That prize-winner is a big Great Dane.</b>
2956,What do you think your friend is saying it is small relative to?,images/chihuahua_filler.png,images/dog-parade-basic_filler.png,42,filler,No,1,dogs1,Barbara,NA,chihuahuas,dogs,yes,Your friend points to something in the distance (not shown).,NA,0,pred,rescue,chihuahua,25,chihuahuas,NA,higher_degree,small,NA,English,female,5990,You and your friend see the following:,8,NA,dogs1_rescue,It is small relative to other,2,NA,congruent,custom_main_text1,small,Your friend says: <br/><b>That's a small chihuahua.</b>
