submission_id,question,response1,sentence_left,startDate,context_picture,experiment_id,picture2,correct1,question1,problems,enjoyment,hit_id,item,botresponse,trials,assignment_id,correct2,pic_spec,understand,text,condition,sentence,age,response,comments,ref_spec,picture1,response3,education,target_size,name,worker_id,languages,sex,RT,correct3,context,trial_number,startTime,attempts,question3,fairprice,question2,response2,correct,adj_cond,trial_name
491,<i>What do you think Speaker A meant? </i>,NA,The Empire State Building is tall relative to other ,Fri Sep 06 2019 14:10:26 GMT-0400 (Eastern Daylight Time),NA,13,NA,NA,NA,,1,3W1K7D6QSB5V821KPQIO8XUAG86BZ8,NA,jessica,1,39LOEL67OTTE8VUDR9871EVIKAL83N,NA,NA,yes,NA,NA,"<b> Speaker A: ""The Empire State Building is tall.""</b>",23,buildings,,NA,NA,NA,graduated_college,NA,comp_class_warmup,AMTTB8JUWRRM7,English,female,NA,NA,In the main trials you will be asked to rephrase something a person said. The utterance will contain a word that is <i>relative</i> and your task is to figure out what it is relative to. <br /> <br /> For example: <br /><br />,1,1567793426562,1,NA,.8,NA,NA,"buildings, scyscrapers, houses, constructions (choose one)",NA,comp_class_warmup
491,NA,dandelion,NA,Fri Sep 06 2019 14:10:26 GMT-0400 (Eastern Daylight Time),NA,13,warmup/sunflower.png,dandelion,This is a ,,1,3W1K7D6QSB5V821KPQIO8XUAG86BZ8,flowers,jessica,NA,39LOEL67OTTE8VUDR9871EVIKAL83N,sunflower,NA,yes,Please label the pictures below.,NA,NA,23,NA,,NA,warmup/dandelion.jpg,flowers,graduated_college,NA,NA,AMTTB8JUWRRM7,English,female,NA,flowers,NA,1,1567793426562,1,This is a ,.8,These are both,sunflower,NA,NA,warmup1
491,NA,swordfish,NA,Fri Sep 06 2019 14:10:26 GMT-0400 (Eastern Daylight Time),NA,13,warmup/goldfish.png,swordfish,This is a ,,1,3W1K7D6QSB5V821KPQIO8XUAG86BZ8,fish,jessica,NA,39LOEL67OTTE8VUDR9871EVIKAL83N,goldfish,NA,yes,Please label the pictures below.,NA,NA,23,NA,,NA,warmup/swordfish.jpg,fish,graduated_college,NA,NA,AMTTB8JUWRRM7,English,female,NA,fish,NA,2,1567793426562,1,This is a ,.8,These are both,goldfish,NA,NA,warmup1
491,NA,Chihuahua,NA,Fri Sep 06 2019 14:10:26 GMT-0400 (Eastern Daylight Time),NA,13,warmup/doberman.png,chihuahua,This is a ,,1,3W1K7D6QSB5V821KPQIO8XUAG86BZ8,dogs,jessica,NA,39LOEL67OTTE8VUDR9871EVIKAL83N,doberman,NA,yes,Please label the pictures below.,NA,NA,23,NA,,NA,warmup/chihuahua.jpg,dogs,graduated_college,NA,NA,AMTTB8JUWRRM7,English,female,NA,dogs,NA,3,1567793426562,1,This is a ,.8,These are both,doberman,NA,NA,warmup1
491,Please rephrase your friend's comment.,NA,It is small relative to other ,Fri Sep 06 2019 14:10:26 GMT-0400 (Eastern Daylight Time),images/fish-parade-goldfish.png,13,NA,NA,NA,,1,3W1K7D6QSB5V821KPQIO8XUAG86BZ8,fish,jessica,NA,39LOEL67OTTE8VUDR9871EVIKAL83N,NA,1,yes,"You and your friend see another member of the group <br /> (not pictured), and your friend says: <br/><b>That's a small goldfish.</b>",prenominal,NA,23,goldfish,,0,NA,NA,graduated_college,small,NA,AMTTB8JUWRRM7,English,female,,NA,You and your friend see the following:,1,1567793426562,NA,NA,.8,NA,NA,NA,congr,custom_main_text1
491,What do you think your friend meant?,NA,It is big relative to other ,Fri Sep 06 2019 14:10:26 GMT-0400 (Eastern Daylight Time),images/flower-parade-basic.png,13,NA,NA,NA,,1,3W1K7D6QSB5V821KPQIO8XUAG86BZ8,flowers,jessica,NA,39LOEL67OTTE8VUDR9871EVIKAL83N,NA,0,yes,"You and your friend see another member of the group <br /> (not pictured), and your friend says: <br/><b>That's a big sunflower.</b>",prenominal,NA,23,flowers,,0,NA,NA,graduated_college,big,NA,AMTTB8JUWRRM7,English,female,,NA,You and your friend see the following:,2,1567793426562,NA,NA,.8,NA,NA,NA,basic,custom_main_text1
491,What do you think your friend meant?,NA,It is small relative to other ,Fri Sep 06 2019 14:10:26 GMT-0400 (Eastern Daylight Time),images/dog-parade-doberman.png,13,NA,NA,NA,,1,3W1K7D6QSB5V821KPQIO8XUAG86BZ8,dogs1,jessica,NA,39LOEL67OTTE8VUDR9871EVIKAL83N,NA,2,yes,"You and your friend see another member of the group <br /> (not pictured), and your friend says: <br/><b>That's a small one.</b>",prenominal,NA,23,dobermans,,1,NA,NA,graduated_college,small,NA,AMTTB8JUWRRM7,English,female,,NA,You and your friend see the following:,3,1567793426562,NA,NA,.8,NA,NA,NA,incongr,custom_main_text1
491,NA,hummingbird,NA,Fri Sep 06 2019 14:10:26 GMT-0400 (Eastern Daylight Time),NA,13,warmup/eagle.jpg,hummingbird,This is a ,,1,3W1K7D6QSB5V821KPQIO8XUAG86BZ8,birds,jessica,NA,39LOEL67OTTE8VUDR9871EVIKAL83N,eagle,NA,yes,Please label the pictures below.,NA,NA,23,NA,,NA,warmup/colibri.jpg,birds,graduated_college,NA,NA,AMTTB8JUWRRM7,English,female,NA,birds,NA,1,1567793426562,1,This is an ,.8,These are both,eagle,NA,NA,warmup2
491,NA,pug,NA,Fri Sep 06 2019 14:10:26 GMT-0400 (Eastern Daylight Time),NA,13,warmup/great-dane.jpg,pug,This is a ,,1,3W1K7D6QSB5V821KPQIO8XUAG86BZ8,dogs,jessica,NA,39LOEL67OTTE8VUDR9871EVIKAL83N,great dane,NA,yes,Please label the pictures below.,NA,NA,23,NA,,NA,warmup/pug.jpg,dog,graduated_college,NA,NA,AMTTB8JUWRRM7,English,female,NA,dogs,NA,2,1567793426562,1,This is a ,.8,These are both,greyhound,NA,NA,warmup2
491,NA,pug,NA,Fri Sep 06 2019 14:10:26 GMT-0400 (Eastern Daylight Time),NA,13,warmup/great-dane.jpg,pug,This is a ,,1,3W1K7D6QSB5V821KPQIO8XUAG86BZ8,dogs,jessica,NA,39LOEL67OTTE8VUDR9871EVIKAL83N,great dane,NA,yes,Please label the pictures below.,NA,NA,23,NA,,NA,warmup/pug.jpg,dogs,graduated_college,NA,NA,AMTTB8JUWRRM7,English,female,NA,dogs,NA,2,1567793426562,2,This is a ,.8,These are both,great dane,NA,NA,warmup2
